Date,Value
2012-06-13 00:00:00-04:00,101.37284180759927
2012-06-14 00:00:00-04:00,102.00587662330524
2012-06-15 00:00:00-04:00,102.83021280470489
2012-06-18 00:00:00-04:00,103.05704013189286
2012-06-19 00:00:00-04:00,103.72643470800611
2012-06-20 00:00:00-04:00,103.59853642341766
2012-06-21 00:00:00-04:00,101.86969385744904
2012-06-22 00:00:00-04:00,102.14016674100615
2012-06-25 00:00:00-04:00,101.52524583557127
2012-06-26 00:00:00-04:00,101.82064536415348
2012-06-27 00:00:00-04:00,102.4774116994171
2012-06-28 00:00:00-04:00,102.47322246589829
2012-06-29 00:00:00-04:00,104.6481155213381
2012-07-02 00:00:00-04:00,105.2143161952616
2012-07-03 00:00:00-04:00,106.07922369521005
2012-07-05 00:00:00-04:00,105.70893440172242
2012-07-06 00:00:00-04:00,105.0071479284963
2012-07-09 00:00:00-04:00,105.1872382454073
2012-07-10 00:00:00-04:00,104.43316917701824
2012-07-11 00:00:00-04:00,104.58778007840309
2012-07-12 00:00:00-04:00,104.37314405499473
2012-07-13 00:00:00-04:00,105.36586523028244
2012-07-16 00:00:00-04:00,105.42763664034992
2012-07-17 00:00:00-04:00,105.71585269344322
2012-07-18 00:00:00-04:00,106.04598647928611
2012-07-19 00:00:00-04:00,106.2045916026122
2012-07-20 00:00:00-04:00,105.59160378500746
2012-07-23 00:00:00-04:00,104.5644203777053
2012-07-24 00:00:00-04:00,104.05222620138724
2012-07-25 00:00:00-04:00,104.36438981195543
2012-07-26 00:00:00-04:00,105.3609442012131
2012-07-27 00:00:00-04:00,106.41903337129953
2012-07-30 00:00:00-04:00,106.51001906923392
2012-07-31 00:00:00-04:00,106.06451344075559
2012-08-01 00:00:00-04:00,105.63551199885623
2012-08-02 00:00:00-04:00,105.17062741476875
2012-08-03 00:00:00-04:00,106.53638563166557
2012-08-06 00:00:00-04:00,106.90494567361681
2012-08-07 00:00:00-04:00,107.01110709800723
2012-08-08 00:00:00-04:00,106.91372297191589
2012-08-09 00:00:00-04:00,107.08868080472652
2012-08-10 00:00:00-04:00,107.1903554716575
2012-08-13 00:00:00-04:00,106.88019693581532
2012-08-14 00:00:00-04:00,106.63909612603611
2012-08-15 00:00:00-04:00,106.62150572202128
2012-08-16 00:00:00-04:00,107.15712790696884
2012-08-17 00:00:00-04:00,107.36485383409861
2012-08-20 00:00:00-04:00,107.37387076361205
2012-08-21 00:00:00-04:00,107.62838376356308
2012-08-22 00:00:00-04:00,107.91977570242464
2012-08-23 00:00:00-04:00,107.59794253036056
2012-08-24 00:00:00-04:00,107.71985815097936
2012-08-27 00:00:00-04:00,107.72201648177597
2012-08-28 00:00:00-04:00,107.88345421488836
2012-08-29 00:00:00-04:00,107.77387422609335
2012-08-30 00:00:00-04:00,107.27347246444691
2012-08-31 00:00:00-04:00,108.1264532710755
2012-09-04 00:00:00-04:00,108.29085843373733
2012-09-05 00:00:00-04:00,108.09540604238168
2012-09-06 00:00:00-04:00,109.07099142525868
2012-09-07 00:00:00-04:00,109.8254778636947
2012-09-10 00:00:00-04:00,109.38066903330356
2012-09-11 00:00:00-04:00,109.70299088519482
