Date,MVO-LW (Static),Equal-Weighted,MVO-Naive,LW Subset,MVO-RMT (OOS),RMT λ₊ Base (OOS),RMT λ₊ High (OOS)
2008-07-02,0.9852321344558866,0.9908012339041847,0.9850461351442555,0.9829640281667732,,,
2008-07-03,0.9819592106418508,0.9885814473294502,0.9817383296623643,0.9805564256891646,,,
2008-07-07,0.9812027428646952,0.9830922825862809,0.9798557063626937,0.9702481759089177,,,
2008-07-08,0.9974717980460488,0.9908813240392481,0.9979778370286569,0.9893640584266118,,,
2008-07-09,0.9725371597017852,0.9774763277784468,0.972154810111081,0.9719013679789432,,,
2008-07-10,0.9821676398527249,0.987022727656664,0.9816144239736921,0.9796303715780001,,,
2008-07-11,0.9762040389603267,0.9832385544956571,0.9760008311165616,0.9767692772601053,,,
2008-07-14,0.9673902062681005,0.9797537170040068,0.9663408368613103,0.9681570355184483,,,
2008-07-15,0.9609865340360227,0.969135415043363,0.9594964145677842,0.9592357793077412,,,
2008-07-16,0.9810930396610759,0.9776810890362932,0.9815374799677961,0.980397740757525,,,
2008-07-17,0.9897246194507567,0.978727070216407,0.9901404526067734,0.9861806163462626,,,
2008-07-18,0.9969105814825251,0.9805126943251321,0.9970458998089108,0.9918766528509612,,,
2008-07-21,0.9908153092329443,0.9861034616108295,0.9923112734604798,0.9969476359573629,,,
2008-07-22,0.9944591261281686,0.9860641245827346,0.9974847633552317,1.0076995395374995,,,
2008-07-23,1.0049497889264924,0.9849083400358714,1.0082615112778188,1.0091168636066008,,,
2008-07-24,0.9807903040557036,0.9729958713767549,0.9829302948361571,0.9911331815430128,,,
2008-07-25,0.9891537360897111,0.9748712945005752,0.9912916230515081,0.9937881940716545,,,
2008-07-28,0.9723106722488799,0.9687330966885824,0.9746220637411358,0.9807232050362715,,,
2008-07-29,0.9911544048689509,0.9785891138218246,0.9941392359036911,0.9978500992595646,,,
2008-07-30,0.9997046458196628,0.9861892580298025,1.0024846749641436,1.0082071665793415,,,
2008-07-31,0.9922855074735846,0.9797716251334797,0.9949306201185301,1.000279492902244,,,
2008-08-01,0.9853702099396183,0.9756709408358043,0.9885559942010292,0.9967883150648802,,,
2008-08-04,0.9814175262524679,0.9632832695648483,0.9837694287826652,0.9867429264958618,,,
2008-08-05,1.0010061824434173,0.9728368175802472,1.004255808495202,1.0038667255567923,,,
2008-08-06,1.0096767694760531,0.9765266956268397,1.0121206142123402,1.0085266317386086,,,
2008-08-07,0.9998570250785473,0.9691226067329781,1.001284686140372,0.9948768411166291,,,
2008-08-08,1.01735678364362,0.9735672011530176,1.0192218295262327,1.0103585755849658,,,
2008-08-11,1.02532582792744,0.9744221403235491,1.0284257133538135,1.0179684557368451,,,
2008-08-12,1.020010332607605,0.970415897454458,1.0222816506209353,1.0088730861375077,,,
2008-08-13,1.0162388672247906,0.9720349437115188,1.0181598303620043,1.0081140525365084,,,
2008-08-14,1.0222500084562187,0.9732074618866507,1.0246013317486604,1.0116767496262615,,,
2008-08-15,1.0234688992889722,0.9700442134331552,1.0256725459758325,1.0109752031544892,,,
2008-08-18,1.0115517064077244,0.964696260712914,1.01353675980053,1.0013252640951036,,,
2008-08-19,0.9983449382276302,0.9624689819786029,1.000074236576202,0.9931359675440468,,,
2008-08-20,1.001174403273217,0.9682169459948448,1.0029761102919108,0.995568594869737,,,
2008-08-21,1.0000385073890934,0.9717323668875525,1.0011914259519799,0.996907744527499,,,
2008-08-22,1.0134262809956383,0.9732977933311922,1.0151206176191556,1.009019444281617,,,
2008-08-25,0.996835404435995,0.964461469065061,0.9980253468629108,0.9909755410025515,,,
2008-08-26,0.9972200089847685,0.9676894081536987,0.9988894006093462,0.9934171142786079,,,
2008-08-27,1.0059252956341669,0.9741168101485939,1.007485351079044,1.0024832314999688,,,
2008-08-28,1.017572189700523,0.9795268550842938,1.0199788714695748,1.016439528430644,,,
2008-08-29,1.002260805163059,0.9735849701481716,1.0054835458812301,1.0070334078313459,,,
2008-09-02,0.9942764245742319,0.9629131022853701,0.9978337165115401,0.9994050716048697,,,
2008-09-03,0.9894522012258986,0.961859424847694,0.9942695997851593,0.999606999263732,,,
2008-09-04,0.9579831939226736,0.9445445447177547,0.9630680714684954,0.9728791196493917,,,
2008-09-05,0.9584016753696859,0.9443353902583779,0.963235403331764,0.9748759136165447,,,
2008-09-08,0.9739956448905168,0.954184615758132,0.9798090706972159,0.9893864190250254,,,
2008-09-09,0.9511289611289945,0.932790288856116,0.9565850074151143,0.9624257296508526,,,
2008-09-10,0.9500977718570969,0.9358575667833959,0.9561884235506376,0.9633909458797172,,,
2008-09-11,0.9609680294883857,0.9370160285112449,0.9667707447732683,0.9711673128274024,,,
2008-09-12,0.9672294520254986,0.9436106334985115,0.9726727749427424,0.9791967365723294,,,
2008-09-15,0.9255465267551077,0.9142559966678132,0.9301874370966627,0.9428911415897088,,,
2008-09-16,0.9431096734029593,0.9179896244441675,0.9485217354940073,0.9578819142362431,,,
2008-09-17,0.9038784369203491,0.8956935612151232,0.9076500494325049,0.933920072511111,,,
2008-09-18,0.9397921578023779,0.924269409795703,0.9463047055723389,0.9628860284182484,,,
2008-09-19,0.9649758329169587,0.956632694420104,0.9729476486461901,1.0017531617730688,,,
2008-09-22,0.9392689123721528,0.938269151453064,0.9448020880675098,0.9821711200918528,,,
2008-09-23,0.9326109587459345,0.9295084834153582,0.9385014560357485,0.9643079110672502,,,
2008-09-24,0.9293342101452468,0.9274739050813013,0.934445041850077,0.9605763146650861,,,
