Date,MVO-LW (Static),Equal-Weighted,MVO-Naive,LW Subset,RMT Relaxed (1.2) (Best γ=0.1),RMT Base (1.0) (Best γ=0.1),RMT High (1.4) (Best γ=0.1),Strict-Factor MVO,Expected Utility Optimized,ML Predicted MVO,ML Predicted MVO (Rolling),Strict-Factor MVO (Rolling)
2008-07-02,0.9934650023688333,0.9908014763997718,0.9965864444512896,0.9932811256861606,,,,,0.9855409267408048,,,
2008-07-03,0.9914769418669365,0.9885816072708572,0.9983479439061275,0.9904357667835166,,,,,0.9809692508451687,,,
2008-07-07,0.9920951885612703,0.9830923393874452,0.9997259293798906,0.9860869158366204,,,,,0.991595752555689,,,
2008-07-08,0.9993235369443968,0.9908815178254056,1.0037164974791448,0.9956676965482619,,,,,1.0022671953634261,,,
2008-07-09,0.9887510920762872,0.9774764016097683,0.9992566965273489,0.9890711341793553,,,,,0.9706076699726611,,,
2008-07-10,0.995187541553674,0.9870227889249478,1.0036575289426406,0.9947381637250307,,,,,0.9836331288244464,,,
2008-07-11,0.9904979288744789,0.9832387045140746,0.9999011152048732,0.9922037639679673,,,,,0.9742288325623294,,,
2008-07-14,0.9883803923179285,0.9797538662662681,0.999686689716191,0.9900824665271911,,,,,0.9661249277278813,,,
2008-07-15,0.9845855222422606,0.9691354736352836,1.0007878525385954,0.9847287929875658,,,,,0.9630627237765012,,,
2008-07-16,0.9889146101333044,0.9776812972102833,0.9996551742893123,0.9892822909068733,,,,,0.9787958691679306,,,
2008-07-17,0.992337351438274,0.9787272222562875,0.9998416637630637,0.9907519449470521,,,,,0.9893401208120348,,,
2008-07-18,0.9962839713400167,0.9805126373626281,0.9991581205446969,0.9939171471063483,,,,,1.0007135962220004,,,
2008-07-21,0.9941660113505528,0.9861035118631346,0.9982696034754359,0.9988489730743687,,,,,0.9808625263298433,,,
2008-07-22,0.99333028542774,0.9860642829181463,0.9963656908939055,1.0013653401662834,,,,,0.9757100868948246,,,
2008-07-23,0.9951934571078002,0.9849084395814833,0.9975169798522024,0.998014700523263,,,,,0.9939068632617925,,,
2008-07-24,0.9877195802802355,0.9729960623267867,0.997251180584833,0.9938981405840621,,,,,0.9663291355496253,,,
2008-07-25,0.9905930647759379,0.974871338298645,0.9982776464553629,0.9935788571991245,,,,,0.9806130839723829,,,
2008-07-28,0.9836416456950491,0.968733148315465,0.9962908815743242,0.9894799352945928,,,,,0.9588309353798152,,,
2008-07-29,0.9911305690671796,0.9785890181906213,1.0002436346871624,0.9950786650080278,,,,,0.9795883432080372,,,
2008-07-30,0.9949919636816295,0.9861893311340837,0.9997971154370411,0.9993242602083238,,,,,0.9870073201096917,,,
2008-07-31,0.9939673140331695,0.9797719442969117,1.001633714761758,0.998859489217952,,,,,0.9800075009749489,,,
2008-08-01,0.9893683398004762,0.9756709387054251,1.0001515863219839,0.9957432857679445,,,,,0.9686668306929778,,,
2008-08-04,0.985529368524936,0.9632834688165426,0.9979969466714849,0.9880339219927907,,,,,0.9728555099119385,,,
2008-08-05,0.9922398026799881,0.9728370027781642,0.9999204264153169,0.992551897699754,,,,,0.9928026269615627,,,
2008-08-06,0.9970682132540558,0.976526717743696,1.0033797018149158,0.9943272801258958,,,,,1.0075294772242556,,,
2008-08-07,0.9953885063864774,0.9691226920824988,1.0062591376764105,0.9904854965154353,,,,,1.0044494903495236,,,
2008-08-08,1.0033328847947118,0.9735672259239253,1.012045609846769,0.9956479112324739,,,,,1.024396893906877,,,
2008-08-11,1.000994153446489,0.9744221970537215,1.0093128210572568,0.9922351594068115,,,,,1.0320526933826628,,,
2008-08-12,1.0000377102056273,0.970415976299983,1.0094383061522345,0.9897805089717909,,,,,1.03373513567825,,,
2008-08-13,0.9989303871597561,0.9720351529322853,1.009866838245915,0.9898801415652394,,,,,1.0298271599429882,,,
2008-08-14,1.0002917251818377,0.9732075637371937,1.010748562558727,0.989519981509976,,,,,1.0381202248280763,,,
2008-08-15,1.0009936350689852,0.9700442781077732,1.012575002102053,0.9884438911181092,,,,,1.041710475280843,,,
2008-08-18,0.9970432508529866,0.964696390546956,1.0121940084820953,0.9862602448412097,,,,,1.0274600136468717,,,
2008-08-19,0.9922969244239284,0.9624689821101692,1.0102676163417088,0.9845955385774386,,,,,1.0088603788458155,,,
2008-08-20,0.9938630013395281,0.9682171332197822,1.0117140984732262,0.9856205911098727,,,,,1.0116960977079132,,,
2008-08-21,0.9949647074635274,0.971732372079906,1.0103606133480414,0.9886068629137788,,,,,1.0077427878024694,,,
2008-08-22,0.9997833309728016,0.9732978407040029,1.013937615927295,0.9915494679577974,,,,,1.0222859658248138,,,
2008-08-25,0.9941502893508488,0.9644616068908537,1.012915783922262,0.9859414264419863,,,,,1.007724309278644,,,
2008-08-26,0.9946087877459568,0.9676893557304765,1.014638447867779,0.9870356382262133,,,,,1.0039299248815565,,,
2008-08-27,0.9988922400849664,0.9741170244161019,1.015485448171771,0.9915334984394972,,,,,1.014339188212148,,,
2008-08-28,1.0052943537996681,0.9795270544105013,1.0191802090726239,0.9991540888847039,,,,,1.0207375216913381,,,
2008-08-29,0.9964234617178898,0.9735852417110754,1.0154211553441248,0.9936948486807149,,,,,0.9972612742339246,,,
2008-09-02,0.9914328682371141,0.962913110716124,1.0157601417320334,0.9883622921528284,,,,,0.9904618373129529,,,
2008-09-03,0.9884847973120727,0.9618594180334503,1.0130525235749483,0.9889643460166299,,,,,0.9768742359842061,,,
2008-09-04,0.974486788247934,0.9445447357660358,1.0116942816083399,0.9778434248343627,,,,,0.9394382689538311,,,
