Date,RMT Relaxed (1.2) - Gamma 0.1,RMT Relaxed (1.2) - Gamma 0.15,RMT Relaxed (1.2) - Gamma 0.2,RMT Relaxed (1.2) - Gamma 0.3,RMT Relaxed (1.2) - Gamma 0.5,RMT Relaxed (1.2) - Gamma 1.0,RMT Base (1.0) - Gamma 0.1,RMT Base (1.0) - Gamma 0.15,RMT Base (1.0) - Gamma 0.2,RMT Base (1.0) - Gamma 0.3,RMT Base (1.0) - Gamma 0.5,RMT Base (1.0) - Gamma 1.0,RMT High (1.4) - Gamma 0.1,RMT High (1.4) - Gamma 0.15,RMT High (1.4) - Gamma 0.2,RMT High (1.4) - Gamma 0.3,RMT High (1.4) - Gamma 0.5,RMT High (1.4) - Gamma 1.0
2019-01-03,0.9763931446640098,0.9805069092453824,0.9831048513994305,0.9860649504272431,0.9882626667009893,0.9899050006265684,0.9763927021149539,0.9805065322309414,0.98310449109292,0.9860646866373706,0.9882625111282375,0.9899049221002364,0.9763936737951447,0.9805073307335475,0.9831052072117995,0.9860652162430195,0.988262823627685,0.9899050794850885
2019-01-04,1.0058460784651553,1.0068249324156775,1.0071342599671333,1.0073840152871059,1.007752643018654,1.0084506985201478,1.0058464241253928,1.0068252028193079,1.0071344857054247,1.0073842351691105,1.0077527857064357,1.0084507702829761,1.005845793550636,1.0068247059122883,1.0071340770611237,1.0073838097990204,1.0077525005990662,1.0084506268453948
2019-01-07,1.0150076855027823,1.0152636199993228,1.0150157443964876,1.0144214467553285,1.013947558147409,1.0142765658600206,1.0150083515750705,1.0152641512041731,1.0150161689134194,1.0144218041957542,1.0139477893516273,1.014276681682549,1.0150071117652788,1.015263159360663,1.0150153863158868,1.0144211159808871,1.0139473285847669,1.0142764504568453
2019-01-08,1.0252540940593697,1.0248824063956563,1.0240403180963666,1.0225745607240033,1.0212945004433227,1.0210577368083826,1.0252552354031665,1.0248833006390077,1.0240410503164088,1.022575106595315,1.0212948376804114,1.021057902247202,1.0252531331600392,1.0248816460507082,1.0240397156722663,1.0225740752440853,1.0212941782683478,1.0210575749423179
2019-01-09,1.0322905735982326,1.0311578973131856,1.0298712755698445,1.027978407201177,1.0266241799291627,1.0266328037517867,1.0322918139990498,1.0311588795098365,1.029872060310662,1.0279790791467827,1.0266246049458667,1.0266330163246844,1.0322894810604142,1.0311570309608673,1.0298706040825898,1.0279777776407863,1.0266237583054283,1.0266325920254218
2019-01-10,1.0368623194782864,1.0352924259984047,1.0336078914689348,1.0312740226324673,1.0297449032375379,1.0296257916516405,1.0368639474441617,1.0352936838586806,1.0336089148824006,1.0312748464673327,1.0297454128617296,1.0296260439519194,1.0368609076448791,1.035291331041674,1.0336070307451923,1.0312732656494292,1.029744407149488,1.0296255425828038
2019-01-11,1.0367316014955732,1.0352351549795382,1.0336287478258028,1.031239669266788,1.0294553102504478,1.0289928091611953,1.0367331979797896,1.0352363841115342,1.0336297427894956,1.0312404452736714,1.0294557850962598,1.0289930426199854,1.0367302440534183,1.0352341024326108,1.0336279219357998,1.0312389673747364,1.0294548540100288,1.0289925801141826
2019-01-14,1.029417121913519,1.0285006366174496,1.0273505078283962,1.0256120923285281,1.0243252986807856,1.0242903706175495,1.0294186281043756,1.0285017809615218,1.0273514047602155,1.0256127830033224,1.02432572685176,1.0242905815642673,1.0294158568736231,1.0284996671219562,1.027349763963888,1.02561146980952,1.0243248859786327,1.02429016335355
2019-01-15,1.0397976565796523,1.0377084646240022,1.0357457684851084,1.0330057132234127,1.0309054913462805,1.0302075391503567,1.0397995153758868,1.0377098763126125,1.0357468941226837,1.0330065542543356,1.0309060027661818,1.0302077899802626,1.039796064991579,1.0377072493611337,1.0357448260250428,1.0330049551699974,1.0309050021497406,1.0302072935809556
2019-01-16,1.043084342531155,1.0409737648200073,1.0389589462880149,1.0361917842342525,1.0342350166107501,1.0335165428843585,1.0430863426663401,1.040975282685202,1.0389601459727842,1.0361927032592717,1.0342355679150568,1.0335168127809573,1.0430826410599958,1.0409724653453336,1.0389579445054906,1.0361909523358512,1.0342344910425711,1.0335162790680459
