Date,MVO-LW (Static),Equal-Weighted,MVO-Naive,LW Subset,RMT Relaxed (1.2) (Best γ=0.1),RMT Base (1.0) (Best γ=0.1),RMT High (1.4) (Best γ=0.1)
2008-07-02,0.9934715953718599,0.9908013548807332,0.9965910664163852,0.9932900669560758,,,
2008-07-03,0.9914846345396489,0.9885815350992136,0.9983535950025159,0.9904470479530777,,,
2008-07-07,0.9921036425467233,0.983092210372514,0.9997257401682875,0.9861045153744845,,,
2008-07-08,0.9993220587141963,0.9908812953449451,1.003706971775604,0.9956694552769142,,,
2008-07-09,0.9887568342516508,0.9774761358795693,0.999251611305453,0.9890786571619963,,,
2008-07-10,0.9951899626734252,0.9870227285376778,1.0036491892189179,0.9947416334344661,,,
2008-07-11,0.9905034353551326,0.9832384809353245,0.9998981130035504,0.9922086244761945,,,
2008-07-14,0.9883867135586575,0.9797537222606124,0.9996831855171754,0.9900889316897012,,,
2008-07-15,0.9845831020076842,0.9691353159829453,1.0007657301345105,0.9847250232027321,,,
2008-07-16,0.9889083402649893,0.9776811990760467,0.9996368450634548,0.9892728625761551,,,
2008-07-17,0.9923301229958285,0.9787271227347002,0.9998259848471408,0.9907433506615582,,,
2008-07-18,0.9962868685932401,0.9805126424853002,0.9991595826990562,0.9939221751526464,,,
2008-07-21,0.9941741695789529,0.986103332598018,0.9982796987630153,0.9988536961797266,,,
2008-07-22,0.9933400369682018,0.9860641627938398,0.9963844014154115,1.0013681248187964,,,
2008-07-23,0.9951982058187473,0.9849082819425687,0.9975249277611329,0.9980164783492761,,,
2008-07-24,0.9877344675663181,0.9729957897724418,0.9972661268923781,0.9939095060515796,,,
2008-07-25,0.9906076001598848,0.9748713092542852,0.9982938584381738,0.9935925982982425,,,
2008-07-28,0.9836599471848134,0.968732922840153,0.9963076164344354,0.9894957219913175,,,
2008-07-29,0.9911417122626456,0.9785890659985994,1.0002543150129883,0.9950864614911941,,,
2008-07-30,0.994998355284472,0.986189170331479,0.999804210820967,0.9993261649279518,,,
2008-07-31,0.9939771906673025,0.979771615665391,1.0016417312178412,0.998865134930069,,,
2008-08-01,0.9893785429222818,0.9756707606410525,1.0001595723942658,0.9957473373575542,,,
2008-08-04,0.9855374033230763,0.9632833790811701,0.9979974553722958,0.9880389760049045,,,
2008-08-05,0.9922457672006816,0.9728367910101082,0.9999231268980812,0.992556649035593,,,
2008-08-06,0.9970646281458132,0.9765267520973883,1.003370941604144,0.9943227440619883,,,
2008-08-07,0.9953868273923963,0.9691225236328275,1.006245791460292,0.9904851549722544,,,
2008-08-08,1.003324699249538,0.9735671323900688,1.012028221325113,0.9956411847682443,,,
2008-08-11,1.0009831234829731,0.9744221152627153,1.0092915775941302,0.9922253501393034,,,
2008-08-12,1.0000318646368747,0.9704159397494133,1.0094180923948253,0.9897783884310638,,,
2008-08-13,0.9989274096711773,0.9720349490398672,1.0098506538735958,0.9898797360054434,,,
2008-08-14,1.0002863956012362,0.9732074352824939,1.0107276585784086,0.9895182668053181,,,
2008-08-15,1.0009893928541198,0.9700441743752277,1.012553266936655,0.9884454309084553,,,
2008-08-18,0.9970421350266601,0.9646962505026802,1.01217295826588,0.986263506272667,,,
2008-08-19,0.9923028109120856,0.9624689547509564,1.010256293823337,0.9846048250478893,,,
2008-08-20,0.9938667870405263,0.9682168858925707,1.0117004304957706,0.9856280878130526,,,
2008-08-21,0.9949671156807592,0.9717323141368263,1.0103466746792764,0.9886116527427186,,,
2008-08-22,0.999775579621177,0.973297683668699,1.0139128093409986,0.9915425653821827,,,
2008-08-25,0.9941537021553337,0.9644615201761881,1.0128997792346421,0.9859487005443514,,,
2008-08-26,0.9946071366037653,0.9676893467678445,1.0146188770760154,0.9870360063201219,,,
2008-08-27,0.9988872267280259,0.9741168242328979,1.0154626080211087,0.9915290343623858,,,
2008-08-28,1.0052841492823021,0.9795269004393814,1.0191559367396181,0.9991417849446612,,,
2008-08-29,0.9964226981320384,0.9735852062940922,1.015407510456887,0.9936912514901693,,,
2008-09-02,0.9914371847941466,0.9629131173397807,1.0157464034501489,0.9883639815766518,,,
2008-09-03,0.9884935472135175,0.961859324803233,1.0130474222789798,0.9889684884579786,,,
2008-09-04,0.9745136209688595,0.9445446152641703,1.0117049534746185,0.9778669967348192,,,
2008-09-05,0.9756201899345528,0.9443353386117738,1.0129423505959887,0.9791900129665254,,,
2008-09-08,0.9838546430747135,0.9541845562367459,1.0187593047694579,0.9868085389120949,,,
2008-09-09,0.9715897020321006,0.9327903576403038,1.0144394644588728,0.9730493713172119,,,
2008-09-10,0.9673067787698401,0.9358576424573077,1.0123737251339133,0.9686794665738764,,,
2008-09-11,0.9709206044761332,0.9370160127063955,1.0133555240446916,0.9695182577473218,,,
2008-09-12,0.9737637562090944,0.9436106438599455,1.009413951289795,0.9744784806603937,,,
2008-09-15,0.9555043055567202,0.9142560319915278,1.0040270976068542,0.9599523224276223,,,
2008-09-16,0.9563770269149166,0.9179897647287592,1.0071449971447288,0.9551240991150033,,,
2008-09-17,0.9394175787713168,0.8956935412028655,1.0059707289309856,0.9461570819969342,,,
2008-09-18,0.9579911029156656,0.9242692401053695,1.0086540772444914,0.9638457724058554,,,
2008-09-19,0.9734871091082393,0.9566326670903054,1.0130069564163002,0.9879337562779003,,,
2008-09-22,0.9638394389066486,0.9382691531503021,0.9995844506994553,0.9828682210758204,,,
2008-09-23,0.9577508847905937,0.9295083525468513,1.0002136218118594,0.9706940762412483,,,
2008-09-24,0.9568269091979124,0.9274739899460903,1.002485766498707,0.9682864376469659,,,
