date,SPY,IWM,EFA,EEM,AGG,LQD,HYG,TLT,GLD,VNQ,DBC,VT,XLE,XLK,UUP
2017-01-27 00:00:00-05:00,199.95448303222656,122.57495880126953,47.48069381713867,31.33639144897461,86.65397644042969,88.70248413085938,57.25355911254883,96.67220306396484,113.48999786376953,59.72789764404297,13.7637939453125,52.96308517456055,51.99138641357422,46.385196685791016,22.453582763671875
2017-01-30 00:00:00-05:00,198.71444702148438,120.8648910522461,47.14024353027344,31.16912269592285,86.61387634277344,88.5512924194336,57.135921478271484,96.38126373291016,113.97000122070312,59.32169723510742,13.685144424438477,52.585792541503906,51.03883361816406,46.01039123535156,22.410385131835938
2017-01-31 00:00:00-05:00,198.69699096679688,121.71092987060547,47.21150588989258,31.227670669555664,86.82231140136719,88.71003723144531,57.07709503173828,97.05199432373047,115.55000305175781,59.74966812133789,13.7637939453125,52.67802047729492,51.059852600097656,45.7818489074707,22.228958129882812
2017-02-01 00:00:00-05:00,198.77554321289062,121.6388931274414,47.401527404785156,31.244386672973633,86.70018768310547,88.60087585449219,57.288455963134766,96.451904296875,115.19999694824219,59.03155517578125,13.912355422973633,52.753475189208984,50.68162155151367,46.129234313964844,22.24623680114746
2017-02-02 00:00:00-05:00,198.90652465820312,121.3329086303711,47.4252815246582,31.378198623657227,86.74840545654297,88.6236572265625,57.32127380371094,96.411376953125,115.83999633789062,59.735145568847656,13.912355422973633,52.854087829589844,50.96879196166992,46.037818908691406,22.28079605102539
2017-02-03 00:00:00-05:00,200.27760314941406,123.18692779541016,47.615291595458984,31.570558547973633,86.77250671386719,88.72218322753906,57.41975021362305,96.37090301513672,116.12999725341797,60.06159591674805,13.903615951538086,53.122379302978516,51.4100341796875,46.3394889831543,22.272157669067383
2017-02-06 00:00:00-05:00,199.91954040527344,122.25993347167969,47.27484130859375,31.495285034179688,87.02157592773438,89.00263977050781,57.380332946777344,96.95397186279297,117.69999694824219,59.96004867553711,13.816227912902832,52.937923431396484,50.97578811645508,46.366920471191406,22.28943634033203
2017-02-07 00:00:00-05:00,199.9282989501953,121.71993255615234,47.227333068847656,31.33639144897461,87.10989379882812,89.15423583984375,57.29501724243164,97.6666488647461,117.45999908447266,59.74966812133789,13.755054473876953,52.90439224243164,50.25438690185547,46.54976272583008,22.40174674987793
2017-02-08 00:00:00-05:00,200.19027709960938,121.50390625,47.3065071105957,31.52872657775879,87.35897827148438,89.46499633789062,57.33438491821289,98.9947509765625,118.19000244140625,60.22116470336914,13.807488441467285,52.97146224975586,50.373435974121094,46.63203811645508,22.375829696655273
2017-02-09 00:00:00-05:00,201.3779296875,123.21395874023438,47.50444793701172,31.6709041595459,87.15013122558594,89.1087417602539,57.413177490234375,97.85295104980469,117.29000091552734,60.366249084472656,13.877399444580078,53.23975372314453,50.940773010253906,46.778297424316406,22.462223052978516
2017-02-10 00:00:00-05:00,202.172607421875,124.14997863769531,47.615291595458984,31.96361541748047,87.1340103149414,89.08606719970703,57.452552795410156,97.79621124267578,117.5999984741211,60.794219970703125,14.025960922241211,53.508060455322266,51.32599639892578,46.91542053222656,22.488140106201172
2017-02-13 00:00:00-05:00,203.2729034423828,124.47396850585938,47.80531311035156,32.063968658447266,87.00547790527344,89.0481185913086,57.53788757324219,97.48845672607422,116.80000305175781,60.81598663330078,13.868660926818848,53.77635955810547,51.424068450927734,47.12568664550781,22.539976119995117
2017-02-14 00:00:00-05:00,204.08505249023438,124.88799285888672,47.73405075073242,32.0974235534668,86.8126449584961,88.83586120605469,57.5772590637207,96.78392028808594,116.93000030517578,60.49681854248047,13.886137962341309,53.88536071777344,51.592159271240234,47.281089782714844,22.59181022644043
2017-02-15 00:00:00-05:00,205.15045166015625,125.635009765625,47.91615295410156,32.3566780090332,86.67610931396484,88.7676773071289,57.596946716308594,96.3385009765625,117.44999694824219,60.293704986572266,13.903615951538086,54.1955680847168,51.38902282714844,47.436500549316406,22.548616409301758
2017-02-16 00:00:00-05:00,204.97584533691406,125.28404998779297,48.0269889831543,32.23958969116211,86.86089324951172,89.01779174804688,57.551025390625,96.86491394042969,118.08000183105469,60.64914321899414,13.816227912902832,54.21232986450195,50.688636779785156,47.546199798583984,22.419025421142578
2017-02-17 00:00:00-05:00,205.2989501953125,125.2030258178711,47.90031433105469,32.10578536987305,87.0537338256836,89.24516296386719,57.6101188659668,97.43988800048828,117.68000030517578,60.76520919799805,13.790010452270508,54.18716812133789,50.4084587097168,47.710750579833984,22.531335830688477
2017-02-21 00:00:00-05:00,206.5215301513672,126.18408966064453,48.05866241455078,32.457027435302734,87.045654296875,89.28314208984375,57.800437927246094,97.26984405517578,117.75,61.54136276245117,13.77253246307373,54.472259521484375,50.75166702270508,47.957584381103516,22.635007858276367
